Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	RxNorm_Semantic_Group_Abbreviation	RxNorm_Semantic_Group_Name	NDFRT_Code	NDFRT_Full_Name	NDFRT_Semantic_Group_Abbreviation	NDFRT_Semantic_Group_Name	UNII_Code	UNII_Display_Name
* * * * * * * * * *L A T E X * * * * * * * * * *	* * * * * * * * * *L A T E X * * * * * * * * * *	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
* * * * * * * * * *LATEX * * * * * * * * * *	* * * * * * * * * *LATEX * * * * * * * * * *	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
* * * * * LATEX * * * * *	* * * * * LATEX * * * * *	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
* * * * *L A T E X  A L L E R G Y* * * * *	* * * * *L A T E X  A L L E R G Y* * * * *	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**  I V  **  VITAMIN  K	**  I V  **  VITAMIN  K	1	Map	Likely not an allergy	11258	Vitamin K	CHEM	Chemicals & Drugs	N0000006290	Vitamin K [Chemical/Ingredient]	CHEM	Chemicals & Drugs	A034SE7857	PHYTONADIONE
** ALL   C A I N E S **	** ALL   C A I N E S **	1	Map						N0000175539	Local Anesthetic [EPC]	CHEM	Chemicals & Drugs		
** L A T E X    A L L E R G Y **	** L A T E X    A L L E R G Y **	4	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
** NO TYLENOL IN ALLOGENIC TRANSPLANT PT***	** NO TYLENOL IN ALLOGENIC TRANSPLANT PT***	1	Map		161	Acetaminophen	CHEM	Chemicals & Drugs	N0000007359	Acetaminophen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	362O9ITL9D	ACETAMINOPHEN
***  L A T E X    A L L E R G Y  ***	***  L A T E X    A L L E R G Y  ***	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***  L A T E X   A L L E R G Y  ***	***  L A T E X   A L L E R G Y  ***	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*** L A T E X    A L L E R G Y  ***	*** L A T E X    A L L E R G Y  ***	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*** L A T E X    A L L E R G Y ***	*** L A T E X    A L L E R G Y ***	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*** L A T E X ******	*** L A T E X ******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*** LATEX SENSITIVE **	*** LATEX SENSITIVE **	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****   L A T E X    A L L E R G Y   ****	****   L A T E X    A L L E R G Y   ****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****  L A T E X    A L L E R G Y  ****	****  L A T E X    A L L E R G Y  ****	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**** L A T E X    A L L E R G Y ****	**** L A T E X    A L L E R G Y ****	4	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****  L A T E X    A L L E R G Y  *****	*****  L A T E X    A L L E R G Y  *****	3	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***** LATEX ALLERGY ******	***** LATEX ALLERGY ******	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
************LATEX ALLERGY*********	************LATEX ALLERGY*********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
************LATEX ALLERGY**********	************LATEX ALLERGY**********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***********L A T E X************	***********L A T E X************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***********LATEX ALLERGY**********	***********LATEX ALLERGY**********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***********latex allergy***********	***********latex allergy***********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***********LATEX ALLERGY************	***********LATEX ALLERGY************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***********latex allergy*************	***********latex allergy*************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***********LATEX**********	***********LATEX**********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**********L A T E X**********	**********L A T E X**********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**********LATEX ALLERGY*********	**********LATEX ALLERGY*********	4	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**********LATEX ALLERGY***********	**********LATEX ALLERGY***********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**********LATEX************	**********LATEX************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*********LATEX ALLERGY****	*********LATEX ALLERGY****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*********LATEX ALLERGY*******	*********LATEX ALLERGY*******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*********LATEX**********	*********LATEX**********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
********LATEX ALLERGY********	********LATEX ALLERGY********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
********LATEX ALLERGY***********	********LATEX ALLERGY***********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
********LATEX ALLERGY************	********LATEX ALLERGY************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
********LATEX*******	********LATEX*******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*******L A T E X*******	*******L A T E X*******	3	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*******LATEX ALLERGY****	*******LATEX ALLERGY****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*******LATEX ALLERGY********	*******LATEX ALLERGY********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*******LATEX********	*******LATEX********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*******LATEX************	*******LATEX************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*******SEVERE LATEX ALLERGY*****	*******SEVERE LATEX ALLERGY*****	1	Map	Suggest adding text annotation	1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
******LATEX ALLERGY******	******LATEX ALLERGY******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
******LATEX ALLERGY*******	******LATEX ALLERGY*******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
******LATEX ALLERGY**********	******LATEX ALLERGY**********	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
******LATEX ALLERGY*************	******LATEX ALLERGY*************	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****L A T E X  A L L E R G Y*****	*****L A T E X  A L L E R G Y*****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****L A T E X ******	*****L A T E X ******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****L A T E X*****	*****L A T E X*****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****L A T E X*******	*****L A T E X*******	4	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****LATEX ALLERGY******	*****LATEX ALLERGY******	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
*****LATEX*****	*****LATEX*****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****L A T E X*****	****L A T E X*****	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****L A T E X******	****L A T E X******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****LATEX ALLERGY****	****LATEX ALLERGY****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****LATEX ALLERGY*****	****LATEX ALLERGY*****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****LATEX****	****LATEX****	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****LATEX******	****LATEX******	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
****TOPICAL LATEX ONLY****	****TOPICAL LATEX ONLY****	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***L A T E X*******	***L A T E X*******	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***LATEX ALLERGY****	***LATEX ALLERGY****	3	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***LATEX***	***LATEX***	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
***NO HEPARIN**o	***NO HEPARIN**o	1	Map		5224	heparin	CHEM	Chemicals & Drugs	N0000006341	Heparin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T2410KM04A	HEPARIN
**L*A*T*E*X**	**L*A*T*E*X**	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
**LIQUID** AMOXICILLIN !	**LIQUID** AMOXICILLIN !	1	Map		723	Amoxicillin	CHEM	Chemicals & Drugs	N0000005840	Amoxicillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	804826J2HU	AMOXICILLIN
,IODINE  .DICLOXICILLIN TAPE	,IODINE	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000007802	Iodine Compounds [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
,IODINE  .DICLOXICILLIN TAPE	DICLOXICILLIN	1	Map		3356	Dicloxacillin	CHEM	Chemicals & Drugs	N0000007481	Dicloxacillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	COF19H7WBK	DICLOXACILLIN
,IODINE  .DICLOXICILLIN TAPE	TAPE	1	Map	Suggest adding text annotation					N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
? ancef	? ancef	1	Map		2180	Cefazolin	CHEM	Chemicals & Drugs	N0000005828	Cefazolin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	IHS69L0Y4T	CEFAZOLIN
? anesthetic med	? anesthetic med	1	Map						N0000029138	[CN200] ANESTHETICS	CHEM	Chemicals & Drugs		
? latex sensitivity	? latex sensitivity	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
? norco	? norco	1	Map		214182	Acetaminophen / Hydrocodone	CHEM	Chemicals & Drugs	N0000020398	ACETAMINOPHEN/HYDROCODONE	CHEM	Chemicals & Drugs		
? pain pill	? pain pill	1	Text annotation only						N0000029133	[CN100] ANALGESICS	CHEM	Chemicals & Drugs		
? pcn	? pcn	1	Map		70618	Penicillin	CHEM	Chemicals & Drugs	N0000179370	Penicillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
? penicillin	? penicillin	1	Map		70618	Penicillin	CHEM	Chemicals & Drugs	N0000179370	Penicillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
?BACTRIM?	?BACTRIM?	1	Map		10831	Sulfamethoxazole / Trimethoprim	CHEM	Chemicals & Drugs	N0000167190	Trimethoprim, Sulfamethoxazole Drug Combination [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
?pcn	?pcn	1	Map		70618	Penicillin	CHEM	Chemicals & Drugs	N0000179370	Penicillin [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
?steri strips	?steri strips	1	Text annotation only											
283742	nexium	2	Map		283742	Esomeprazole	CHEM	Chemicals & Drugs	N0000189434	Esomeprazole [Chemical/Ingredient]	CHEM	Chemicals & Drugs	R6DXU4WAY9	ESOMEPRAZOLE MAGNESIUM
abacavir	abacavir	1	Map		190521	abacavir	CHEM	Chemicals & Drugs	N0000148592	ABACAVIR SULFATE	CHEM	Chemicals & Drugs	WR2TIP26VS	ABACAVIR
ABSORBABLE SUTURE	ABSORBABLE SUTURE	1	Text annotation only											
ACCALATE	ACCALATE	1	Map		114970	zafirlukast	CHEM	Chemicals & Drugs	N0000006523	zafirlukast [Chemical/Ingredient]	CHEM	Chemicals & Drugs	XZ629S5L50	ZAFIRLUKAST
accupril	accupril	1	Map		35208	quinapril	CHEM	Chemicals & Drugs	N0000006736	quinapril [Chemical/Ingredient]	CHEM	Chemicals & Drugs	33067B3N2M	QUINAPRIL HYDROCHLORIDE
accutane	accutane	1	Map		6064	Isotretinoin	CHEM	Chemicals & Drugs	N0000007197	Isotretinoin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	EH28UP18IF	ISOTRETINOIN
ace	ace	2	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs	54EJ303F0R	ACEPROMAZINE
ACE I	ACE I	9	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace inhib	ace inhib	1	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace inhibiotors	ace inhibiotors	1	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace inhibiters	ace inhibiters	1	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace inhibititors	ace inhibititors	1	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace inhibitor	ace inhibitor	22	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace inhibitor cough	ace inhibitor cough	1	Map	Not an allergy					N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
Ace inhibitors	Ace inhibitors	65	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ace -inhibitors- Chronic renal insuffiency	ace -inhibitors- Chronic renal insuffiency	1	Map	Not an allergy					N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ACE-I	ACE-I	1	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ACE-Inhibitor	ACE-Inhibitor	1	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
ACE-inhibitors	ACE-inhibitors	3	Map						N0000029130	[CV800] ACE INHIBITORS	CHEM	Chemicals & Drugs		
acetaminophen	acetaminophen	1	Map		161	Acetaminophen	CHEM	Chemicals & Drugs	N0000007359	Acetaminophen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	362O9ITL9D	ACETAMINOPHEN
acetate	acetate	1	Do not map	Meaning unclear									569DQM74SC	ACETATE ION
ACETONE	ACETONE	2	Map		1364858	ACETONE SODIUM BISULFITE	CHEM	Chemicals & Drugs	N0000007389	Acetone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1364PS73AF	ACETONE
achromycin	achromycin	3	Map		10395	Tetracycline	CHEM	Chemicals & Drugs	N0000006275	Tetracycline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	P6R62377KV	TETRACYCLINE HYDROCHLORIDE
Acne Antibiotic	Acne Antibiotic	1	Map	Suggest adding text annotation					N0000029074	[AM000] ANTIMICROBIALS	CHEM	Chemicals & Drugs		
acromycen	acromycen	1	Map		10395	Tetracycline	CHEM	Chemicals & Drugs	N0000006275	Tetracycline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	F8VB5M810T	TETRACYCLINE
Acromycin	Acromycin	9	Map		10395	Tetracycline	CHEM	Chemicals & Drugs	N0000006275	Tetracycline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	F8VB5M810T	TETRACYCLINE
acromyocyn	acromyocyn	1	Map		10395	Tetracycline	CHEM	Chemicals & Drugs	N0000006275	Tetracycline [Chemical/Ingredient]	CHEM	Chemicals & Drugs	F8VB5M810T	TETRACYCLINE
ACRYLICS	ACRYLICS	1	Map						N0000007643	Acrylic Resins [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
actifid	actifid	1	Map		214807	Pseudoephedrine / Triprolidine	CHEM	Chemicals & Drugs	N0000020419	PSEUDOEPHEDRINE/TRIPROLIDINE	CHEM	Chemicals & Drugs		
actron	actron	1	Map		6142	Ketoprofen	CHEM	Chemicals & Drugs	N0000007341	Ketoprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	90Y4QC304K	KETOPROFEN
adalat,haldol,norvasc,verapamil	adalat	1	Map		7417	Nifedipine	CHEM	Chemicals & Drugs	N0000006519	Nifedipine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	I9ZF7L6G2L	NIFEDIPINE
adalat,haldol,norvasc,verapamil	haldol	1	Map		5093	Haloperidol	CHEM	Chemicals & Drugs	N0000006048	Haloperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	J6292F8L3D	HALOPERIDOL
adalat,haldol,norvasc,verapamil	norvasc	1	Map		17767	Amlodipine	CHEM	Chemicals & Drugs	N0000006268	Amlodipine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	864V2Q084H	AMLODIPINE BESYLATE
adalat,haldol,norvasc,verapamil	verapamil	1	Map		11170	Verapamil	CHEM	Chemicals & Drugs	N0000007093	Verapamil [Chemical/Ingredient]	CHEM	Chemicals & Drugs	CJ0O37KU29	VERAPAMIL
additive to Plasma	additive to Plasma	1	Text annotation only											
adhedive tape	adhedive tape	1	Map	Suggest adding text annotation					N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
ADHESIVE	ADHESIVE	9	Map						N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
adhesive (tape and bandaids)	adhesive (bandaids)	1	Map	Suggest adding text annotation					N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
adhesive (tape and bandaids)	adhesive (tape)	1	Map	Suggest adding text annotation					N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
adhesive bad- aid	adhesive bad- aid	1	Map	Suggest adding text annotation					N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
