Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	UMLS_CUI_2	NDFRT_Full_Name	UNII_Code	UNII_Display_Name	SNOMED_CONCEPTID	SNOMED_FSN	UMLS_CUI
***  L A T E X    A L L E R G Y  ***	***  L A T E X    A L L E R G Y  ***	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***  L A T E X   A L L E R G Y  ***	***  L A T E X   A L L E R G Y  ***	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*** L A T E X    A L L E R G Y  ***	*** L A T E X    A L L E R G Y  ***	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*** L A T E X    A L L E R G Y ***	*** L A T E X    A L L E R G Y ***	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*** L A T E X ******	*** L A T E X ******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*** LATEX SENSITIVE **	*** LATEX SENSITIVE **	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****   L A T E X    A L L E R G Y   ****	****   L A T E X    A L L E R G Y   ****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****  L A T E X    A L L E R G Y  ****	****  L A T E X    A L L E R G Y  ****	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**** L A T E X    A L L E R G Y ****	**** L A T E X    A L L E R G Y ****	4	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****  L A T E X    A L L E R G Y  *****	*****  L A T E X    A L L E R G Y  *****	3	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***** LATEX ALLERGY ******	***** LATEX ALLERGY ******	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
************LATEX ALLERGY*********	************LATEX ALLERGY*********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
************LATEX ALLERGY**********	************LATEX ALLERGY**********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***********L A T E X************	***********L A T E X************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***********LATEX ALLERGY**********	***********LATEX ALLERGY**********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***********latex allergy***********	***********latex allergy***********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***********LATEX ALLERGY************	***********LATEX ALLERGY************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***********latex allergy*************	***********latex allergy*************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***********LATEX**********	***********LATEX**********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**********L A T E X**********	**********L A T E X**********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**********LATEX ALLERGY*********	**********LATEX ALLERGY*********	4	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**********LATEX ALLERGY***********	**********LATEX ALLERGY***********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**********LATEX************	**********LATEX************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*********LATEX ALLERGY****	*********LATEX ALLERGY****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*********LATEX ALLERGY*******	*********LATEX ALLERGY*******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*********LATEX**********	*********LATEX**********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
********LATEX ALLERGY********	********LATEX ALLERGY********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
********LATEX ALLERGY***********	********LATEX ALLERGY***********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
********LATEX ALLERGY************	********LATEX ALLERGY************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
********LATEX*******	********LATEX*******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*******L A T E X*******	*******L A T E X*******	3	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*******LATEX ALLERGY****	*******LATEX ALLERGY****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*******LATEX ALLERGY********	*******LATEX ALLERGY********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*******LATEX********	*******LATEX********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*******LATEX************	*******LATEX************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*******SEVERE LATEX ALLERGY*****	*******SEVERE LATEX ALLERGY*****	1	Map	Suggest adding text annotation	1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
******LATEX ALLERGY******	******LATEX ALLERGY******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
******LATEX ALLERGY*******	******LATEX ALLERGY*******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
******LATEX ALLERGY**********	******LATEX ALLERGY**********	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
******LATEX ALLERGY*************	******LATEX ALLERGY*************	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****L A T E X  A L L E R G Y*****	*****L A T E X  A L L E R G Y*****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****L A T E X ******	*****L A T E X ******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****L A T E X*****	*****L A T E X*****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****L A T E X*******	*****L A T E X*******	4	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****LATEX ALLERGY******	*****LATEX ALLERGY******	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
*****LATEX*****	*****LATEX*****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****L A T E X*****	****L A T E X*****	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****L A T E X******	****L A T E X******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****LATEX ALLERGY****	****LATEX ALLERGY****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****LATEX ALLERGY*****	****LATEX ALLERGY*****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****LATEX****	****LATEX****	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****LATEX******	****LATEX******	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
****TOPICAL LATEX ONLY****	****TOPICAL LATEX ONLY****	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***L A T E X*******	***L A T E X*******	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***LATEX ALLERGY****	***LATEX ALLERGY****	3	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***LATEX***	***LATEX***	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
***NO HEPARIN**o	***NO HEPARIN**o	1	Map		5224	heparin	C0019134	Heparin [Chemical/Ingredient]	T2410KM04A	HEPARIN	96382006	Unfractionated heparin (substance)	C0019134
**L*A*T*E*X**	**L*A*T*E*X**	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**LIQUID** AMOXICILLIN !	**LIQUID** AMOXICILLIN !	1	Map		723	Amoxicillin	C0002645	Amoxicillin [Chemical/Ingredient]	804826J2HU	AMOXICILLIN	372687004	Amoxicillin (substance)	C0002645
,IODINE  .DICLOXICILLIN TAPE	,IODINE	1	Map		5933	Iodine	C0021968	Iodine Compounds [Chemical/Ingredient]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
,IODINE  .DICLOXICILLIN TAPE	DICLOXICILLIN	1	Map		3356	Dicloxacillin	C0012093	Dicloxacillin [Chemical/Ingredient]	COF19H7WBK	DICLOXACILLIN	372873001	Dicloxacillin (substance)	C0012093
,IODINE  .DICLOXICILLIN TAPE	TAPE	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
? ancef	? ancef	1	Map		2180	Cefazolin	C0007546	Cefazolin [Chemical/Ingredient]	IHS69L0Y4T	CEFAZOLIN	387470007	Cefazolin (substance)	C0007546
? anesthetic med	? anesthetic med	1	Map				C0002932	[CN200] ANESTHETICS			373266007	Anesthetic (substance)	C0002932
? latex sensitivity	? latex sensitivity	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
? norco	? norco	1	Map		214182	Acetaminophen / Hydrocodone	C0717367	ACETAMINOPHEN/HYDROCODONE			768400008	Product containing hydrocodone and paracetamol (medicinal product)	C0717367
? pain pill	? pain pill	1	Text annotation only				C0002771	[CN100] ANALGESICS			373265006	Analgesic (substance)	C0002771
? pcn	? pcn	1	Map		70618	Penicillin	C0220892	Penicillin [Chemical/Ingredient]			764146007	Penicillin (substance)	C0220892
? penicillin	? penicillin	1	Map		70618	Penicillin	C0220892	Penicillin [Chemical/Ingredient]			764146007	Penicillin (substance)	C0220892
?BACTRIM?	?BACTRIM?	1	Map		10831	Sulfamethoxazole / Trimethoprim	C0041044	Trimethoprim, Sulfamethoxazole Drug Combination [Chemical/Ingredient]			703745000	Sulfamethoxazole and trimethoprim (substance)	C0041044
?pcn	?pcn	1	Map		70618	Penicillin	C0220892	Penicillin [Chemical/Ingredient]			764146007	Penicillin (substance)	C0220892
?steri strips	?steri strips	1	Text annotation only										
283742	nexium	2	Map		283742	Esomeprazole	C0937622	Esomeprazole [Chemical/Ingredient]	R6DXU4WAY9	ESOMEPRAZOLE MAGNESIUM	396047003	Esomeprazole (substance)	C0937846
abacavir	abacavir	1	Map		190521	abacavir	C0663655	ABACAVIR SULFATE	WR2TIP26VS	ABACAVIR	387005008	Abacavir (substance)	C0663655
ABSORBABLE SUTURE	ABSORBABLE SUTURE	1	Text annotation only								348597004	Absorbable suture (physical object)	C0461643
ACCALATE	ACCALATE	1	Map		114970	zafirlukast	C0378466	zafirlukast [Chemical/Ingredient]	XZ629S5L50	ZAFIRLUKAST	386880006	Zafirlukast (substance)	C0378466
accupril	accupril	1	Map		35208	quinapril	C0770920	quinapril [Chemical/Ingredient]	33067B3N2M	QUINAPRIL HYDROCHLORIDE	386874003	Quinapril (substance)	C0072857
accutane	accutane	1	Map		6064	Isotretinoin	C0022265	Isotretinoin [Chemical/Ingredient]	EH28UP18IF	ISOTRETINOIN	429464002	Product containing isotretinoin in topical dosage form (medicinal product form)	C0022265
ace	ace	2	Map				C0000959	[CV800] ACE INHIBITORS	54EJ303F0R	ACEPROMAZINE	96218000	Acepromazine (substance)	C0000959
ACE I	ACE I	9	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace inhib	ace inhib	1	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace inhibiotors	ace inhibiotors	1	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace inhibiters	ace inhibiters	1	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace inhibititors	ace inhibititors	1	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace inhibitor	ace inhibitor	22	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace inhibitor cough	ace inhibitor cough	1	Map	Not an allergy			C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
Ace inhibitors	Ace inhibitors	65	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ace -inhibitors- Chronic renal insuffiency	ace -inhibitors- Chronic renal insuffiency	1	Map	Not an allergy			C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ACE-I	ACE-I	1	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ACE-Inhibitor	ACE-Inhibitor	1	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
ACE-inhibitors	ACE-inhibitors	3	Map				C0003015	[CV800] ACE INHIBITORS			372733002	Angiotensin-converting enzyme inhibitor agent (substance)	C0003015
acetaminophen	acetaminophen	1	Map		161	Acetaminophen	C0000970	Acetaminophen [Chemical/Ingredient]	362O9ITL9D	ACETAMINOPHEN	387517004	Paracetamol (substance)	C0000970
acetate	acetate	1	Do not map	Meaning unclear							54526002	Acetate (substance)	C0000975
ACETONE	ACETONE	2	Map		1364858	ACETONE SODIUM BISULFITE	C0001002	Acetone [Chemical/Ingredient]	1364PS73AF	ACETONE	4370008	Acetone (substance)	C0001002
achromycin	achromycin	3	Map		10395	Tetracycline	C0546879	Tetracycline [Chemical/Ingredient]	P6R62377KV	TETRACYCLINE HYDROCHLORIDE	372809001	Tetracycline (substance)	C0039644
Acne Antibiotic	Acne Antibiotic	1	Map	Suggest adding text annotation			C1136254	[AM000] ANTIMICROBIALS			250428009	Antimicrobial substance (substance)	C1136254
acromycen	acromycen	1	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
Acromycin	Acromycin	9	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
acromyocyn	acromyocyn	1	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
ACRYLICS	ACRYLICS	1	Map				C0001222	Acrylic Resins [Chemical/Ingredient]			261712009	Acrylic polymer (substance)	C0444831
actifid	actifid	1	Map		214807	Pseudoephedrine / Triprolidine	C0718030	PSEUDOEPHEDRINE/TRIPROLIDINE			425114007	Product containing pseudoephedrine and triprolidine (medicinal product)	C0718030
actron	actron	1	Map		6142	Ketoprofen	C0022635	Ketoprofen [Chemical/Ingredient]	90Y4QC304K	KETOPROFEN	386832008	Ketoprofen (substance)	C0022635
adalat,haldol,norvasc,verapamil	adalat	1	Map		7417	Nifedipine	C0028066	Nifedipine [Chemical/Ingredient]	I9ZF7L6G2L	NIFEDIPINE	387490003	Nifedipine (substance)	C0028066
adalat,haldol,norvasc,verapamil	haldol	1	Map		5093	Haloperidol	C0018546	Haloperidol [Chemical/Ingredient]	J6292F8L3D	HALOPERIDOL	386837002	Haloperidol (substance)	C0018546
adalat,haldol,norvasc,verapamil	norvasc	1	Map		17767	Amlodipine	C0354468	Amlodipine [Chemical/Ingredient]	864V2Q084H	AMLODIPINE BESYLATE	386864001	Amlodipine (substance)	C0051696
adalat,haldol,norvasc,verapamil	verapamil	1	Map		11170	Verapamil	C0042523	Verapamil [Chemical/Ingredient]	CJ0O37KU29	VERAPAMIL	372754009	Verapamil (substance)	C0042523
additive to Plasma	additive to Plasma	1	Text annotation only										
adhedive tape	adhedive tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			8170008	Adhesive, device (physical object)	C0001516
ADHESIVE	ADHESIVE	9	Map				C0982135	ELASTIC ADHESIVE			8170008	Adhesive, device (physical object)	C0001516
adhesive (tape and bandaids)	adhesive (bandaids)	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			8170008	Adhesive, device (physical object)	C0001516
adhesive (tape and bandaids)	adhesive (tape)	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			8170008	Adhesive, device (physical object)	C0001516
adhesive bad- aid	adhesive bad- aid	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
Adhesive Bandage	Adhesive Bandage	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
adhesive bandages	adhesive bandages	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
adhesive bandaid	adhesive bandaid	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
adhesive bandaids	adhesive bandaids	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
adhesive spray	adhesive spray	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			339222006	Stoma adhesive spray/aerosol/solution/gel (physical object)	C0590341
Adhesive Tape	Adhesive Tape	67	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
adhesive tape & bandaids	adhesive tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
adhesive tape & bandaids	bandaids	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
Adhesive tape sensitivity	Adhesive tape sensitivity	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
adhesive tape, bandaid	adhesive tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
adhesive tape, bandaid	bandaid	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
adhesive tape, surgical tape	adhesive tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
adhesive tape, surgical tape	surgical tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE					C0982135
ADHESIVE TAPE, ULTRAM	ADHESIVE TAPE	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
ADHESIVE TAPE, ULTRAM	ULTRAM	1	Map		10689	Tramadol	C2350089	Tramadol [Chemical/Ingredient]	9N7R477WCK	TRAMADOL HYDROCHLORIDE	386858008	Tramadol (substance)	C0040610
